Company,"CIK Code","IRS Number",Ticker,Market,"Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","S&P Index",Auditor,"Auditor Key","Auditor Affiliate","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","IC Opinion Key","Internal Control Report","Restated Internal Control Report",Opinion,"Agrees with Management","IC Framework","Effective Internal Controls","Year Ended Date","Fiscal Year","Signature Date","Note Dates","Filing Index Page","Source FTP Key",Source,"Source Date","Accounting Rule (GAAP/FASB) Application Failures","Financial Fraud, Irregularities and Misrepresentations","Errors in Accounting and Clerical Applications","Internal Control Weakness","Internal Control - Number Weaknesses Identified",Exemption(s),"Fees Currency","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Share Price","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)","First Auditor Report","First Management Report"
"EPAM Systems, Inc.",1352010,22-3536104,EPAM,NYSE,"41 UNIVERSITY DRIVE","SUITE 202",NEWTOWN,Bucks,PA,PENNSYLVANIA,"US Mid Atlantic",18940,"(267) 759-9000",,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,"S&P 500","Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",200581,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1352010/000135201022000020/0001352010-22-000020-index.htm,edgar/data/1352010/0001352010-22-000020.txt,10-K,"2022-02-25 17:29:19",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"3,668,000","653,000","4,321,000",677.84,2021-12-29,"38,446,784,512",2021-12-31,"3,758,144,000","481,652,000","1,855,251,000","3,523,227,000",,
"Customers Bancorp, Inc.",1488813,27-2290659,CUBB,NYSE,"701 READING AVENUE",,"WEST READING",Berks,PA,PENNSYLVANIA,"US Mid Atlantic",19611,"(484) 359-7113",,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"S&P 600 SmallCap","Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",200978,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/1488813/000148881322000018/0001488813-22-000018-index.htm,edgar/data/1488813/0001488813-22-000018.txt,10-K,"2022-02-28 16:49:14",,,,,0,,USD,"978,000","504,978","1,482,978",26.81,2021-12-29,"868,975,872",2021-12-31,"735,515,000","314,647,000","1,362,481,000","19,575,028,000",,
"Viatris Inc",1792044,83-4364296,VTRS,"NASDAQ Global Market","1000 MYLAN BOULEVARD",,CANONSBURG,Washington,PA,PENNSYLVANIA,"US Mid Atlantic",15317,"(724) 514-1465",,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,,"Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",201044,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/1792044/000179204422000010/0001792044-22-000010-index.htm,edgar/data/1792044/0001792044-22-000010.txt,10-K,"2022-02-28 16:10:26",,,,,0,,USD,"12,290,000","560,000","12,850,000",13.56,2021-12-29,"16,399,374,336",2021-12-31,"17,886,300,000","-1,269,100,000","-17,755,200,000","54,842,800,000",,
"PENN Entertainment, Inc.",921738,23-2234473,PENN,"NASDAQ Global Select Market","825 BERKSHIRE BLVD STE 200","WYOMISSING PROFESSIONAL CENTER",WYOMISSING,Berks,PA,PENNSYLVANIA,"US Mid Atlantic",19610,"(610) 373-2400",,,7011,"Hotels and Motels",713210,"Casinos (except Casino Hotels)",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",201089,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/921738/000092173822000011/0000921738-22-000011-index.htm,edgar/data/921738/0000921738-22-000011.txt,10-K,"2022-02-28 16:32:01",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"6,345,837","1,098,108","7,443,945",49.07,2021-12-29,"8,318,071,808",2021-12-31,"5,905,000,000","420,800,000","-597,300,000","16,872,100,000",,
"Chewy, Inc.",1766502,90-1020167,CHWY,NYSE,"7700 WEST SUNRISE BOULEVARD",,PLANTATION,Broward,FL,FLORIDA,"US Southeast",33322,"(786) 320-7111",,,5961,"Catalog and Mail-Order Houses",454111,"Electronic Shopping",34,,"Deloitte & Touche LLP",3,,Phoenix,AZ,ARIZONA,"US Southwest",193804,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-01-31,2021,2021-03-30,,https://www.sec.gov/Archives/edgar/data/1766502/000176650221000008/0001766502-21-000008-index.htm,edgar/data/1766502/0001766502-21-000008.txt,10-K,"2021-03-30 16:43:44",,,,,0,,USD,"2,158,000","114,000","2,272,000",101.76,2021-02-02,"9,698,574,336",2021-01-31,"7,146,264,000","-92,486,000",,"1,740,910,000",Yes,
"UNIVERSAL TECHNICAL INSTITUTE INC",1261654,86-0226984,UTI,NYSE,"20410 NORTH 19TH AVENUE,","SUITE 200",PHOENIX,Maricopa,AZ,ARIZONA,"US Southwest",85027,"(623) 445-9500",,,8200,"Services-Educational Services",611519,"Other Technical and Trade Schools",34,,"Deloitte & Touche LLP",3,,Phoenix,AZ,ARIZONA,"US Southwest",197066,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-09-30,2021,2021-12-02,,https://www.sec.gov/Archives/edgar/data/1261654/000126165421000073/0001261654-21-000073-index.htm,edgar/data/1261654/0001261654-21-000073.txt,10-K,"2021-12-02 07:54:25",,,,,0,,USD,"1,102,362","51,128","1,153,490",6.9,2021-09-28,"226,490,480",2021-09-30,"335,083,000","14,581,000","180,184,000","512,570,000",,
"Meritage Homes CORP",833079,86-0611231,MTH,NYSE,"8800 EAST RAINTREE DRIVE","SUITE 300",SCOTTSDALE,Maricopa,AZ,ARIZONA,"US Southwest",85260,"(480) 515-8100",,,1531,"Operative Builders",236115,"New Single-Family Housing Construction (except Operative Builders)",34,"S&P 600 SmallCap","Deloitte & Touche LLP",3,,Phoenix,AZ,ARIZONA,"US Southwest",198107,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-16,,https://www.sec.gov/Archives/edgar/data/833079/000083307922000011/0000833079-22-000011-index.htm,edgar/data/833079/0000833079-22-000011.txt,10-K,"2022-02-16 11:39:05",,,,,0,,USD,"1,172,500",0,"1,172,500",120.63,2021-12-29,"4,500,840,960",2021-12-31,"5,141,317,000","737,444,000",,"4,807,533,000",,
"CARLISLE COMPANIES INC",790051,31-1168055,CSL,NYSE,"16430 N. SCOTTSDALE RD.","SUITE 400",SCOTTSDALE,Maricopa,AZ,ARIZONA,"US Southwest",85254,"(480) 781-5000",,,3060,"Fabricated Rubber Products, NEC",326291,"Rubber Product Manufacturing for Mechanical Use",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Phoenix,AZ,ARIZONA,"US Southwest",198270,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-17,,https://www.sec.gov/Archives/edgar/data/790051/000079005122000061/0000790051-22-000061-index.htm,edgar/data/790051/0000790051-22-000061.txt,10-K,"2022-02-17 14:46:07",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"4,898,701","176,214","5,074,915",245.81,2021-12-29,"12,852,070,400",2021-12-31,"4,810,300,000","421,700,000","-1,578,200,000","7,246,800,000",,
"Taylor Morrison Home Corp",1562476,83-2026677,TMHC,NYSE,"4900 N. SCOTTSDALE ROAD, SUITE 2000",,SCOTTSDALE,Maricopa,AZ,ARIZONA,"US Southwest",85251,"(480) 840-8100",,,1531,"Operative Builders",236115,"New Single-Family Housing Construction (except Operative Builders)",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Phoenix,AZ,ARIZONA,"US Southwest",199072,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-23,,https://www.sec.gov/Archives/edgar/data/1562476/000162828022003466/0001628280-22-003466-index.htm,edgar/data/1562476/0001628280-22-003466.txt,10-K,"2022-02-23 13:24:49",,,,,0,,USD,"1,368,436","1,076,253","2,444,689",34.93,2021-12-29,"4,292,576,000",2021-12-31,"7,501,265,000","663,026,000","3,262,656,000","8,727,777,000",,
"PINNACLE WEST CAPITAL CORP",764622,86-0512431,PNW,NYSE,"400 NORTH FIFTH STREET","MS 8695",PHOENIX,Maricopa,AZ,ARIZONA,"US Southwest",85004,"(602) 250-1000",,,4911,"Electric Services",221122,"Electric Power Distribution",34,"S&P 500","Deloitte & Touche LLP",3,,Phoenix,AZ,ARIZONA,"US Southwest",200146,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/764622/000076462222000014/0000764622-22-000014-index.htm,edgar/data/764622/0000764622-22-000014.txt,10-K,"2022-02-25 08:33:03",,,,,0,,USD,"3,085,950","416,908","3,502,858",69.87,2021-12-29,"7,882,651,136",2021-12-31,"3,803,835,000","618,720,000","5,632,507,000","22,003,222,000",,
"VIAD CORP",884219,36-1169950,VVI,NYSE,"7000 E. 1ST AVENUE",,SCOTTSDALE,Maricopa,AZ,ARIZONA,"US Southwest",85251,"(602) 207-1000",,,7389,"Business Services, NEC",522390,"Other Activities Related to Credit Intermediation",34,"S&P 600 SmallCap","Deloitte & Touche LLP",3,,Phoenix,AZ,ARIZONA,"US Southwest",200324,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/884219/000095017022002088/0000950170-22-002088-index.htm,edgar/data/884219/0000950170-22-002088.txt,10-K,"2022-02-25 15:15:30",,,,,0,,USD,"1,681,000","347,060","2,028,060",42.48,2021-12-29,"872,126,912",2021-12-31,"507,340,000","-92,655,000","-32,950,000","1,037,630,000",,
"Healthcare Realty Trust Inc",1360604,20-4738467,HR,NYSE,"3310 WEST END AVENUE,  SUITE 700",,,Davidson,TN,TENNESSEE,"US Southeast",37203,"(615) 269-8175",,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Phoenix,AZ,ARIZONA,"US Southwest",201525,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/1360604/000136060422000014/0001360604-22-000014-index.htm,edgar/data/1360604/0001360604-22-000014.txt,10-K,"2022-03-01 15:49:17",,,,,0,,USD,"1,641,499","410,923","2,052,422",33.79,2021-12-29,"7,462,119,424",2021-12-31,"763,923,000","98,016,000","2,842,170,000","6,889,689,000",,
"DICK'S SPORTING GOODS, INC.",1089063,16-1241537,DKS,NYSE,"345 COURT STREET",,CORAOPOLIS,Allegheny,PA,PENNSYLVANIA,"US Mid Atlantic",15108,"(724) 273-3400",,,5940,"Retail-Miscellaneous Shopping Goods Stores",451110,"Sporting Goods Stores",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Pittsburgh,PA,PENNSYLVANIA,"US Mid Atlantic",193267,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-01-30,2021,2021-03-24,,https://www.sec.gov/Archives/edgar/data/1089063/000108906321000036/0001089063-21-000036-index.htm,edgar/data/1089063/0001089063-21-000036.txt,10-K,"2021-03-24 16:37:56",,,,,0,,USD,"1,452,143","177,208","1,629,351",68.67,2021-02-01,"4,513,887,744",2021-01-30,"9,584,019,000","530,251,000","2,003,626,000","7,752,859,000",,
"ANSYS INC",1013462,04-3219960,ANSS,"NASDAQ Global Select Market","2600 ANSYS DRIVE, SOUTHPOINTE",,CANONSBURG,Washington,PA,PENNSYLVANIA,"US Mid Atlantic",15317,"(844) 462-6797",,,7372,"Prepackaged Software",511210,"Software Publishers",34,"S&P 500","Deloitte & Touche LLP",3,,Pittsburgh,PA,PENNSYLVANIA,"US Mid Atlantic",199277,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-23,,https://www.sec.gov/Archives/edgar/data/1013462/000101346222000005/0001013462-22-000005-index.htm,edgar/data/1013462/0001013462-22-000005.txt,10-K,"2022-02-23 16:38:01",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"1,137,079","2,096,849","3,233,928",407.06,2021-12-29,"35,517,186,048",2021-12-31,"1,906,715,000","454,627,000","311,658,000","6,324,314,000",,
"SMARTSHEET INC",1366561,20-2954357,SMAR,NYSE,"500 108TH AVE NE","SUITE 200",BELLEVUE,King,WA,WASHINGTON,"US West",98004,"(844) 324-2360",,,7372,"Prepackaged Software",511210,"Software Publishers",34,,"Deloitte & Touche LLP",3,,Portland,OR,OREGON,"US West",193411,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-01-31,2021,2021-03-25,,https://www.sec.gov/Archives/edgar/data/1366561/000136656121000036/0001366561-21-000036-index.htm,edgar/data/1366561/0001366561-21-000036.txt,10-K,"2021-03-25 16:42:20",,,,,0,,USD,"1,757,000","229,000","1,986,000",73.43,2021-02-02,"8,976,664,576",2021-01-31,"385,513,000","-114,979,000","347,185,000","911,789,000",,
"PORTLAND GENERAL ELECTRIC CO /OR/",784977,93-0256820,POR,NYSE,"121 SW SALMON ST",1WTC0501,PORTLAND,Multnomah,OR,OREGON,"US West",97204,"(503) 464-8000",,,4911,"Electric Services",221122,"Electric Power Distribution",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Portland,OR,OREGON,"US West",198268,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-16,,https://www.sec.gov/Archives/edgar/data/784977/000078497722000009/0000784977-22-000009-index.htm,edgar/data/784977/0000784977-22-000009.txt,10-K,"2022-02-16 19:39:50",,,,,0,,USD,"1,914,000","118,995","2,032,995",52.9,2021-12-29,"4,729,768,448",2021-12-31,"2,396,000,000","244,000,000",,"9,494,000,000",,
"AVISTA CORP",104918,91-0462470,AVA,NYSE,"1411 E MISSION AVE",,SPOKANE,Spokane,WA,WASHINGTON,"US West",99202,"(509) 489-0500",,,4931,"Electric and Other Services Combined",221210,"Natural Gas Distribution",34,"S&P 600 SmallCap","Deloitte & Touche LLP",3,,Portland,OR,OREGON,"US West",199009,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-22,,https://www.sec.gov/Archives/edgar/data/104918/000095017022001672/0000950170-22-001672-index.htm,edgar/data/104918/0000950170-22-001672.txt,10-K,"2022-02-22 20:36:21",,,,,0,,USD,"1,775,806","15,284","1,791,090",41.87,2021-12-29,"2,963,066,368",2021-12-31,"1,438,936,000","147,334,000","2,102,318,000","6,853,583,000",,
"COLUMBIA SPORTSWEAR CO",1050797,93-0498284,COLM,"NASDAQ Global Select Market","14375 NW SCIENCE PARK DRIVE",,PORTLAND,Washington,OR,OREGON,"US West",97229,"(503) 985-4000",,,2300,"Apparel & Other Finishd Prods of Fabrics & Similar Matl",315299,"All Other Cut and Sew Apparel Manufacturing",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Portland,OR,OREGON,"US West",199650,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/1050797/000105079722000012/0001050797-22-000012-index.htm,edgar/data/1050797/0001050797-22-000012.txt,10-K,"2022-02-24 16:12:22",,,,,0,,USD,"2,597,754","67,561","2,665,315",97.33,2021-12-29,"6,347,579,904",2021-12-31,"3,126,402,000","354,108,000","1,818,750,000","3,067,128,000",,
"UMPQUA HOLDINGS CORP",1077771,93-1261319,UMPQ,"NASDAQ Global Select Market","ONE SW COLUMBIA STREET","SUITE 1200",PORTLAND,Multnomah,OR,OREGON,"US West",97204,"(503) 727-4100",,,6035,"Savings Institutions, Federally Chartered",522120,"Savings Institutions",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Portland,OR,OREGON,"US West",200630,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1077771/000107777122000011/0001077771-22-000011-index.htm,edgar/data/1077771/0001077771-22-000011.txt,10-K,"2022-02-25 16:43:23",,,,,0,,USD,"2,012,000","130,000","2,142,000",19.27,2021-12-29,"4,174,302,208",2021-12-31,"1,318,616,000","420,300,000","2,740,430,000","30,640,936,000",,
"BARRETT BUSINESS SERVICES INC",902791,52-0812977,BBSI,"NASDAQ Global Select Market","8100 NE PARKWAY DRIVE","SUITE 200",VANCOUVER,Clark,WA,WASHINGTON,"US West",98662,"(800) 494-5669",,,7363,"Help Supply Services",561310,"Employment Placement Agencies",34,,"Deloitte & Touche LLP",3,,Portland,OR,OREGON,"US West",202304,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-07,,https://www.sec.gov/Archives/edgar/data/902791/000156459022008865/0001564590-22-008865-index.htm,edgar/data/902791/0001564590-22-008865.txt,10-K,"2022-03-07 08:52:00",,,,,0,,USD,"1,530,000","2,000","1,532,000",69.75,2021-12-29,"523,468,448",2021-12-31,"955,166,000","38,079,000","160,710,000","746,952,000",,
"HIGHWOODS PROPERTIES, INC.",921082,56-1871668,HIW,NYSE,"150 FAYETTEVILLE STREET","STE 1400",RALEIGH,Wake,NC,"NORTH CAROLINA","US Southeast",27601,"(919) 872-4924",,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Raleigh,NC,"NORTH CAROLINA","US Southeast",197604,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-08,,https://www.sec.gov/Archives/edgar/data/921082/000092108222000006/0000921082-22-000006-index.htm,edgar/data/921082/0000921082-22-000006.txt,10-K,"2022-02-08 16:04:51",,,,,0,,USD,"1,625,895","66,540","1,692,435",44.8,2021-12-29,"4,676,361,216",2021-12-31,"768,007,000","313,277,000",,"5,695,138,000",,
"Syneos Health, Inc.",1610950,27-3403111,SYNH,"NASDAQ Global Select Market","1030 SYNC STREET",,MORRISVILLE,Wake,NC,"NORTH CAROLINA","US Southeast",27560,"(919) 876-9300",,,8731,"Commercial Physical and Biological Research",541710,"Research and Development in the Physical, Engineering, and Life Sciences",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Raleigh,NC,"NORTH CAROLINA","US Southeast",198257,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-16,,https://www.sec.gov/Archives/edgar/data/1610950/000156459022005428/0001564590-22-005428-index.htm,edgar/data/1610950/0001564590-22-005428.txt,10-K,"2022-02-16 18:39:37",,,,,0,,USD,"5,478,615","1,306,032","6,784,647",102.36,2021-12-29,"10,613,918,720",2021-12-31,"5,212,970,000","234,831,000","-2,397,527,000","8,237,093,000",,
"LABORATORY CORP OF AMERICA HOLDINGS",920148,13-3757370,LH,NYSE,"358 S MAIN ST",,BURLINGTON,Alamance,NC,"NORTH CAROLINA","US Southeast",27215,"(336) 229-1127",,,8071,"Medical Laboratories",541380,"Testing Laboratories",34,"S&P 500","Deloitte & Touche LLP",3,,Raleigh,NC,"NORTH CAROLINA","US Southeast",200278,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/920148/000092014822000015/0000920148-22-000015-index.htm,edgar/data/920148/0000920148-22-000015.txt,10-K,"2022-02-25 14:26:04",,,,,0,,USD,"2,950,000","308,895","3,258,895",308.67,2021-12-29,"29,539,719,168",2021-12-31,"16,120,900,000","2,377,300,000","-1,421,000,000","20,385,400,000",,
"Performance Food Group Co",1618673,43-1983182,PFGC,NYSE,"12500 WEST CREEK PARKWAY",,RICHMOND,Henrico,VA,VIRGINIA,"US Mid Atlantic",23238,"(804) 484-7700",,,5141,"Groceries, General Line",722310,"Food Service Contractors",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Richmond,VA,VIRGINIA,"US Mid Atlantic",196176,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-07-03,2021,2021-08-23,,https://www.sec.gov/Archives/edgar/data/1618673/000156459021045434/0001564590-21-045434-index.htm,edgar/data/1618673/0001564590-21-045434.txt,10-K,"2021-08-23 18:24:16",,,,,0,,USD,"2,720,000","80,000","2,800,000",48.21,2021-07-01,"6,450,528,768",2021-07-03,"30,398,900,000","40,700,000","-45,000,000","7,845,700,000",,
"HUNTINGTON INGALLS INDUSTRIES, INC.",1501585,90-0607005,HII,NYSE,"4101 WASHINGTON AVENUE","909-7, 7J2","NEWPORT NEWS","Newport News City",VA,VIRGINIA,"US Mid Atlantic",23607,"(757) 380-2000",,,3730,"Ship & Boat Building & Repairing",336611,"Ship Building and Repairing",34,"S&P 500","Deloitte & Touche LLP",3,,Richmond,VA,VIRGINIA,"US Mid Atlantic",197763,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-10,,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/0001501585-22-000007-index.htm,edgar/data/1501585/0001501585-22-000007.txt,10-K,"2022-02-10 17:01:54",,,,,0,,USD,"8,016,000","675,000","8,691,000",185.48,2021-12-29,"7,430,513,664",2021-12-31,"9,524,000,000","544,000,000","-979,000,000","10,627,000,000",,
"Franchise Group, Inc.",1528930,27-3561876,FRG,"NASDAQ Global Market","109 INNOVATION COURT","SUITE J",,Delaware,OH,OHIO,"US Midwest",43015,"(508) 630-4426",,,6794,"Patent Owners and Lessors",541213,"Tax Preparation Services",34,,"Deloitte & Touche LLP",3,,Richmond,VA,VIRGINIA,"US Mid Atlantic",199198,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-25,2021,2022-02-23,,https://www.sec.gov/Archives/edgar/data/1528930/000152893022000004/0001528930-22-000004-index.htm,edgar/data/1528930/0001528930-22-000004.txt,10-K,"2022-02-23 16:16:58",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"4,810,500","35,000","4,845,500",53.76,2021-12-27,"2,166,284,288",2021-12-25,"3,255,204,000","363,788,000","-394,343,000","3,913,171,000",,
"DOMINION ENERGY, INC",715957,54-1229715,D,NYSE,"120 TREDEGAR STREET",,RICHMOND,"Richmond City",VA,VIRGINIA,"US Mid Atlantic",23219,"(804) 819-2000",,,4911,"Electric Services",221119,"Other Electric Power Generation",34,"S&P 500","Deloitte & Touche LLP",3,,Richmond,VA,VIRGINIA,"US Mid Atlantic",199554,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/715957/000156459022006589/0001564590-22-006589-index.htm,edgar/data/715957/0001564590-22-006589.txt,10-K,"2022-02-24 12:58:30",,,,,0,,USD,"7,490,000","774,000","8,264,000",78.42,2021-12-29,"63,513,018,368",2021-12-31,"13,964,000,000","3,288,000,000","20,729,000,000","99,590,000,000",,
"Broadstone Net Lease, Inc.",1424182,26-1516177,BNL,NYSE,"800 CLINTON SQUARE",,Rochester,Monroe,NY,"NEW YORK","US Mid Atlantic",14604,"(585) 287-6500",,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,,"Deloitte & Touche LLP",3,,Rochester,NY,"NEW YORK","US Mid Atlantic",199205,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-23,,https://www.sec.gov/Archives/edgar/data/1424182/000119312522049969/0001193125-22-049969-index.htm,edgar/data/1424182/0001193125-22-049969.txt,10-K,"2022-02-23 16:18:37",,,,,0,,USD,"1,397,000","505,000","1,902,000",24.7,2021-12-29,"3,983,286,528",2021-12-31,"382,876,000","102,426,000","1,933,881,000","4,618,648,000",Yes,
